b106 249.58446907285216[nm]
c106 335.8060589664309[nm]
x106 15376.417086243302[nm]
y106 9881.192139028748[nm]
z106 450.5317793491058[nm]
theta106 -114.0151021641178[degrees]
a107 201.67702005531154[nm]
b107 174.23988107653935[nm]
c107 250[nm]
x107 4946.5965601343005[nm]
y107 10064.901333502265[nm]
z107 484.9887434043749[nm]
theta107 -150.52411099675425[degrees]
a108 421.45770272562424[nm]
b108 345.14032804971913[nm]
c108 383.2990153876717[nm]
x108 3474.9945025602365[nm]
y108 10765.039424496592[nm]
z108 424.32012463586216[nm]
theta108 -51.98848972998347[degrees]
a109 318.9707239049798[nm]
b109 289.9256338142434[nm]
c109 304.44817885961163[nm]
x109 7267.945171287726[nm]
y109 10946.627285396344[nm]
z109 383.3345421572176[nm]
theta109 -158.96248897457818[degrees]
a110 377.677369085463[nm]
b110 271.64106863192256[nm]
c110 334.5970869378334[nm]
x110 4201.862713313095[nm]
y110 11574.567479147632[nm]
z110 430.04576340195035[nm]
theta110 -115.5599651718238[degrees]
a111 576.2853220837383[nm]
b111 300.17088154246966[nm]
c111 438.228101813104[nm]
x111 5952.399984013429[nm]
y111 11947.42416370249[nm]
z111 484.71964592939497[nm]
theta111 -40.97173633351486[degrees]
a112 488.8669592452944[nm]
b112 374.4863142070308[nm]
c112 444.8903242466112[nm]
x112 4657.476564062151[nm]
y112 12188.346134393489[nm]
z112 526.9959557701256[nm]
theta112 -61.49346243200763[degrees]
a113 317.1615635197287[nm]
b113 222.35895669663373[nm]
c113 269.7602601081812[nm]
x113 8463.246819338423[nm]
y113 12073.201017811705[nm]
z113 645.5142133087038[nm]
theta113 -140.3709946955357[degrees]
a114 324.584604968997[nm]
b114 216.1801871527679[nm]
c114 270.38239606088246[nm]
x114 3490.9824938737374[nm]
y114 12308.781270384148[nm]
z114 521.0180211025245[nm]
theta114 -41.18592516570965[degrees]
a115 339.00450157751914[nm]
b115 275.44968663560525[nm]
c115 343.1408103532076[nm]
x115 2614.5272327073476[nm]
y115 12446.931734806974[nm]
z115 421.65205987123784[nm]
theta115 -37.216440473534604[degrees]
a116 250[nm]
b116 250[nm]
c116 250.0[nm]
x116 5222.829066677913[nm]
y116 12510.33486567416[nm]
z116 656.0349645933956[nm]
theta116 0[degrees]
a117 250[nm]
b117 250[nm]
c117 250.0[nm]
x117 5474.737463624479[nm]
y117 13109.571506895536[nm]
z117 728.5148889902867[nm]
theta117 0[degrees]
a118 301.96440460414414[nm]
b118 175.11897643522258[nm]
c118 266.4263359518586[nm]
x118 2106.3406260272473[nm]
y118 12786.149968954309[nm]
z118 639.6642073334041[nm]
theta118 -5.194428907734806[degrees]
a119 256.94949745814205[nm]
b119 218.7573147471307[nm]
c119 252.63772821335252[nm]
x119 4504.872025145936[nm]
y119 13055.25370453525[nm]
z119 604.3753325508039[nm]
theta119 -42.16588898369349[degrees]
a120 264.4534299080924[nm]
b120 228.9105967895205[nm]
c120 262.0150977221915[nm]
x120 4134.133042529989[nm]
y120 13426.788859994967[nm]
z120 675.2525303393429[nm]
theta120 -47.202598161765806[degrees]
a121 434.27668098874835[nm]
b121 129.60249501030265[nm]
c121 281.9395879995255[nm]
x121 15477.434043123076[nm]
y121 13629.938395607338[nm]
z121 707.0207999999673[nm]
theta121 -77.30733445488212[degrees]
a122 234.81814374461106[nm]
b122 170.05091152630123[nm]
c122 250[nm]
x122 4803.348369188064[nm]
y122 13603.949803377285[nm]
z122 740.1306684984384[nm]
theta122 -44.3414568224364[degrees]
a123 336.65766520915946[nm]
b123 281.616286193843[nm]
c123 309.1369757015012[nm]
x123 2942.874346871783[nm]
y123 13825.47637084086[nm]
z123 544.3986769881899[nm]
theta123 -147.03059609653786[degrees]
a124 326.7764090534961[nm]
b124 140.34180389962012[nm]
c124 233.5591064765581[nm]
x124 5562.775591484519[nm]
y124 15478.9246598075[nm]
z124 428.43415962206143[nm]
theta124 -22.671343621980853[degrees]
a125 308.8538675441818[nm]
b125 262.9158793785424[nm]
c125 285.8848734613621[nm]
x125 5755.395344453869[nm]
y125 224.01281688813498[nm]
z125 1341.9095896446554[nm]
theta125 -129.98688624496418[degrees]
a126 437.2520150112881[nm]
b126 383.2790904010135[nm]
c126 410.2655527061508[nm]
x126 6891.3558705925125[nm]
y126 334.07488186114136[nm]
z126 1482.1762660654676[nm]
theta126 -44.29268063145574[degrees]
a127 357.43617613566886[nm]
b127 142.50499772972879[nm]
c127 249.97058693269884[nm]
x127 12442.856754774388[nm]
y127 142.7290755480699[nm]
z127 1398.862995355472[nm]
theta127 -6.74557964748282[degrees]
a128 529.8749265581457[nm]
b128 224.51055221149227[nm]
c128 377.192739384819[nm]
x128 13455.602846656213[nm]
y128 207.12353316216635[nm]
z128 1563.7390033844006[nm]
theta128 -18.043412005331277[degrees]
a129 363.31788210419126[nm]
b129 97.83210395401754[nm]
c129 230.5749930291044[nm]
x129 15496.110735336748[nm]
y129 327.5678809546816[nm]
z129 1466.7585721660926[nm]
theta129 -109.00598419603678[degrees]
a130 301.6233297729824[nm]
b130 236.6719999683587[nm]
c130 269.14766487067055[nm]
x130 15359.901824157081[nm]
y130 1111.1550221519647[nm]
z130 1565.878006921413[nm]
theta130 -38.32011393677745[degrees]
a131 360.09295841023027[nm]
b131 234.94790368023033[nm]
c131 356.51950248039753[nm]
x131 13010.472127782412[nm]
y131 1350.5997818974918[nm]
z131 1575.6580813365676[nm]
theta131 -74.61153216724101[degrees]
a132 270.1039085947196[nm]
b132 210.78933238906987[nm]
c132 240.44662049189475[nm]
x132 3668.27681141284[nm]
y132 1266.2245025653863[nm]
z132 1248.3620421220528[nm]
theta132 -47.29061004263853[degrees]
a133 229.97258869690407[nm]
b133 160.05266234135746[nm]
c133 233.6841338365329[nm]
x133 12608.947395752193[nm]
y133 1680.5057901023006[nm]
z133 1717.8620633793532[nm]
theta133 -59.17233770013197[degrees]
a134 266.15006963275385[nm]
b134 178.76399077960008[nm]
c134 245.9768236826358[nm]
x134 10454.082172083483[nm]
y134 1758.1992345266542[nm]
z134 1585.2954121835396[nm]
theta134 -99.7066524093397[degrees]
a135 528.6614358015499[nm]
b135 359.80361295518577[nm]
c135 491.20005432885546[nm]
x135 10970.164736658136[nm]
y135 2039.723973073844[nm]
z135 1491.9367556903367[nm]
theta135 -49.236394799058836[degrees]
a136 592.3044352562633[nm]
b136 242.3889512871363[nm]
c136 417.3466932716998[nm]
x136 9107.893405683804[nm]
y136 2088.866918053895[nm]
z136 1428.0271105717222[nm]
theta136 -153.60006588603306[degrees]
a137 332.0610687022901[nm]
b137 269.94205664254844[nm]
c137 301.00156267241925[nm]
x137 10167.748620244869[nm]
y137 2663.107145122751[nm]
z137 1565.5043478135376[nm]
theta137 -46.39718102729638[degrees]
a138 250[nm]
b138 250[nm]
c138 250.0[nm]
x138 15464.906886271576[nm]
y138 2807.2886726113284[nm]
z138 1541.2017459155757[nm]
